a₀,r,σ,wᵈ,ρ,cor
0.225,0.0,0.4,0.2,-0.2,-0.1338333371014789
0.225,0.0,0.4,0.2,0.0,0.0960453038855986
0.225,0.0,0.4,0.2,0.2,0.3251680647881634
0.225,0.0,0.4,0.2,0.4,0.537218102277286
0.225,0.0,0.4,0.2,0.6,0.7147065543842808
0.225,0.0,0.4,0.2,0.8,0.8571058732089695
0.225,0.0,0.4,0.8,-0.4,-0.00606670573325425
0.225,0.0,0.4,0.8,-0.2,0.16222730223474577
0.225,0.0,0.4,0.8,0.0,0.3155627181902808
0.225,0.0,0.4,0.8,0.2,0.4476111628542997
0.225,0.0,0.4,0.8,0.4,0.5764675827919072
0.225,0.0,0.4,0.8,0.6,0.7006945031868682
0.225,0.0,0.4,0.8,0.8,0.8395106747609946
0.25,0.0,0.1,0.2,-0.4,-0.3086378328016051
0.25,0.0,0.1,0.2,-0.2,-0.07584140702404898
0.25,0.0,0.1,0.2,0.0,0.1455832237399008
0.25,0.0,0.1,0.2,0.2,0.3424545640435628
0.25,0.0,0.1,0.2,0.4,0.5646884964402353
0.25,0.0,0.1,0.2,0.6,0.7464161485834403
0.25,0.0,0.1,0.2,0.8,0.8924667694876495
0.25,0.0,0.1,0.8,-0.4,-0.3847861670858464
0.25,0.0,0.1,0.8,-0.2,-0.18260684205272112
0.25,0.0,0.1,0.8,0.0,0.01844688912095967
0.25,0.0,0.1,0.8,0.2,0.21646021417749955
0.25,0.0,0.1,0.8,0.4,0.41321396663687887
0.25,0.0,0.1,0.8,0.6,0.6080851646111063
0.25,0.0,0.1,0.8,0.8,0.8030886296592441
0.25,0.0,0.4,0.2,-0.4,-0.3524213182257939
0.25,0.0,0.4,0.2,-0.2,-0.12425231791882618
0.25,0.0,0.4,0.2,0.0,0.108646000365782
0.25,0.0,0.4,0.2,0.2,0.33454058507240947
0.25,0.0,0.4,0.2,0.4,0.5390563618378671
0.25,0.0,0.4,0.2,0.6,0.7117069869517427
0.25,0.0,0.4,0.2,0.8,0.857033971790756
0.25,0.0,0.4,0.8,-0.4,-0.0967994529621576
0.25,0.0,0.4,0.8,-0.2,0.07986204154568484
0.25,0.0,0.4,0.8,0.0,0.2365124949824909
